epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2079.93,1.79179,0.78281,0.80423,0.90643,0.86108,0.92829,0.48912,1.43477,0.6935,0.70221,0.0011882,0.0011882,0.0011882
43,2128.16,1.8859,0.8431,0.79994,0.88351,0.86016,0.90768,0.37547,1.69787,0.77282,0.70397,0.0011684,0.0011684,0.0011684
44,2177.15,1.78471,0.80376,0.79803,0.90752,0.88812,0.9314,0.4961,1.40613,0.70442,0.69806,0.0011486,0.0011486,0.0011486
45,2226.54,1.79648,0.77964,0.80107,0.88881,0.86667,0.92253,0.49155,1.41105,0.70166,0.69874,0.0011288,0.0011288,0.0011288
46,2276.46,1.83444,0.79952,0.80515,0.88458,0.85158,0.91666,0.44008,1.55274,0.72833,0.7004,0.001109,0.001109,0.001109
47,2325.01,1.76137,0.76809,0.80493,0.87455,0.87356,0.91591,0.4226,1.58603,0.70546,0.70042,0.0010892,0.0010892,0.0010892
48,2372.83,1.77903,0.8294,0.80293,0.91399,0.89655,0.94305,0.51874,1.36019,0.66709,0.69822,0.0010694,0.0010694,0.0010694
49,2420.8,1.71122,0.80966,0.80203,0.91446,0.89296,0.93871,0.51696,1.36693,0.66625,0.69943,0.0010496,0.0010496,0.0010496
50,2468.48,1.68789,0.78428,0.80176,0.87921,0.87433,0.91337,0.44276,1.50015,0.68211,0.69846,0.0010298,0.0010298,0.0010298
51,2516.28,1.76442,0.77514,0.803,0.87803,0.87893,0.9271,0.50126,1.34128,0.62743,0.69686,0.00101,0.00101,0.00101
52,2564.46,1.71093,0.74316,0.80303,0.92264,0.90115,0.9449,0.4909,1.48786,0.67702,0.69995,0.0009902,0.0009902,0.0009902
53,2613.42,1.72449,0.76022,0.79599,0.87414,0.88429,0.91398,0.4308,1.56438,0.71456,0.70163,0.0009704,0.0009704,0.0009704
